Step,loss
0,26.630823135376
10,36.9225540161133
20,27.7868804931641
30,28.5121917724609
40,30.5634632110596
50,29.4648571014404
60,31.0066032409668
70,30.3158779144287
80,33.252384185791
90,30.8865947723389
100,35.2740859985352
110,34.4483680725098
120,33.4451065063477
130,35.0669555664062
140,33.4259414672852
150,36.8786392211914
160,36.1787567138672
170,33.6315422058105
180,36.7866973876953
190,34.7287406921387
200,38.8037071228027
210,32.3357925415039
220,42.0695114135742
230,38.5110473632812
240,41.923583984375
250,34.3613243103027
260,36.221565246582
270,28.4713020324707
280,29.1453151702881
290,28.3280830383301
300,29.5635585784912
310,29.2036476135254
320,29.8426933288574
330,33.4116058349609
340,30.0699005126953
350,34.1227035522461
360,33.8033866882324
370,30.2507343292236
380,31.4554061889648
390,32.6646194458008
400,38.071346282959
410,31.5940952301025
420,30.0511665344238
430,33.038257598877
440,32.9238700866699
450,36.3366737365723
460,38.8861427307129
470,40.634090423584
480,35.0713386535645
490,34.0466918945312
500,43.0863494873047
510,35.4428100585937
520,37.6817817687988
530,27.3800563812256
540,27.0974159240723
550,28.0798664093018
560,31.3023548126221
570,31.8310012817383
580,32.6108932495117
590,30.0325489044189
600,30.2669467926025
610,30.4539813995361
620,28.3893184661865
630,30.5020027160645
640,32.6057281494141
650,32.180046081543
660,37.898323059082
670,36.3034629821777
680,32.8934783935547
690,31.0025062561035
700,39.0433120727539
710,37.3157577514648
720,37.8861808776855
730,34.6558380126953
740,41.2206954956055
750,47.0247573852539
760,29.8354949951172
770,34.1382255554199
780,34.7044219970703
790,24.502197265625
800,28.1136493682861
810,27.4769020080566
820,27.8695430755615
830,28.3834095001221
840,30.456485748291
850,32.6753845214844
860,27.659688949585
870,31.7880172729492
880,30.4723510742187
890,28.9402084350586
900,31.7199020385742
910,27.8927268981934
920,35.4010772705078
930,31.9235458374023
940,30.6812572479248
950,37.4811477661133
960,30.5787010192871
970,32.9991989135742
980,33.5883102416992
990,33.9122352600098
1000,30.5694236755371
1010,38.1618194580078
1020,35.3641700744629
1030,36.0928421020508
1040,35.2703323364258
1050,35.6508255004883
1060,25.9932765960693
1070,31.3151912689209
1080,26.9958591461182
1090,27.7048091888428
1100,31.4662017822266
1110,29.6309642791748
1120,27.7461452484131
1130,28.3846321105957
1140,31.3608474731445
1150,29.5213088989258
1160,32.8463859558105
1170,34.4645385742187
1180,28.0388298034668
1190,33.2678565979004
1200,32.5747222900391
1210,30.0505523681641
1220,39.0187568664551
1230,29.3528270721436
1240,40.1531257629395
1250,35.159065246582
1260,40.1627578735352
1270,35.4103507995605
1280,40.0162200927734
1290,37.2524833679199
1300,32.2391242980957
1350,20.9143409729004
